Lineup,Members,Where,Date,Running Time,URL,URL2,URL3,Notes
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Pictures of Home, Sofia, Bulgaria",2022-05-29,5:46,https://youtu.be/zTpcoW5m-wg,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","When a Blind Man Cries/keys, Tons of Rock, Oslo. Stage view (10 mins)",2022-06-26,10:06,https://youtu.be/GD6XAlaxP2E,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Guitar solo/Uncommon Man (beginning), Bonn",2022-07-05,4:56,https://www.youtube.com/watch?v=Cs9pIjNUwUs,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Lazy (beginning), Eisenstadt - Austria",2022-07-11,7:50,https://www.youtube.com/watch?v=RlW0TMvomcY,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Space Truckin', Eisenstadt - Austria",2022-07-11,5:17,https://www.youtube.com/watch?v=zvmqsOmTpVM,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Wring That Neck / Hush / Black Night, Eisenstadt - Austria",2022-07-11,13:31,https://www.youtube.com/watch?v=qZUJ4phPCr0,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Hush/Roger solo, Colmar, France",2022-07-22,10:57,https://www.youtube.com/watch?v=RlsIxxktjbs,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Black Night, Tampere, Finland",2022-07-28,7:28,https://www.youtube.com/watch?v=HDGT1XSO0Dc,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Anya, Kerava, Finland",2022-07-30,4:47,https://youtu.be/QpCabZZecyA,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","(Several songs), Royal Arena, Copenhagen, Denmark",2022-10-07,1:02:05,https://youtu.be/pAkzca6_54Q,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","(Several songs, incomplete), Royal Arena, Copenhagen, Denmark",2022-10-07,28:19,https://youtu.be/zrRjQxqyN64,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Forum, Assago, Milano, Italy - Full concert",2022-10-17,1:38:56,https://youtu.be/TmDeOCVpIKA,https://youtu.be/YwbcMVOAQWY,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Full concert, O2, London, UK",2022-10-20,1:38:24,https://youtu.be/9A5Z7spp8kE,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","When a Blind Man Cries, Hydro, Glasgow, Scotland",2022-10-22,5:06,https://youtu.be/wDjGPUXLs7Q,,,Audience recording
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Keyboard solo, Perfect Strangers, Curitiba, Brazil",2023-04-20,13:36,https://youtu.be/32ugnkZU1-k,,,
Deep Purple MkIX,"Airey, Gillan, Glover, McBride, Paice","Jazzopen Stuttgart, Germany. Pro shot, ArteTV (only available for 90 days!) (HStar and No Need to Shout missing)",2023-07-18,1:23:04,https://www.arte.tv/de/videos/114215-004-A/deep-purple/,,,
